Größe,Gewicht,Ohren,Schwanzlänge,Schulterhöhe,Rumpflänge,Felllänge,Rasse,Rasse_Code
72.73797123480357,40.369457700466384,0,36.96701940040313,63.76767217091086,70.88369928087936,3.522749285654476,Dobermann,2
42.49698357450927,8.899516606080628,1,18.790117050688306,38.68080696467845,54.41372400878953,6.851347606104113,Dackel,1
33.006338568447674,3.5783597162745022,1,15.228505380393248,21.682682821662784,37.04213060959788,2.817974493333778,Chihuahua,3
45.96110807912802,20.28511567137816,0,30.19360323506,49.87788630005043,56.141040294753616,8.383150864586105,Border Collie,5
30.182736999479054,10.215694485810738,1,18.078484254728444,33.661004435489176,38.24873572675882,4.528524008418376,Mops,6
37.00616354507505,11.998801312830407,1,18.744267304131547,28.27841434684759,41.51321896359488,4.652758639096948,Mops,6
36.44911033267245,8.499246594987548,1,23.764405376423223,37.63632549378123,51.126625748372106,5.1169255165539695,Dackel,1
68.3543740946769,39.03589170526422,0,43.056109134127496,61.594281601580285,81.83965572385118,4.73718635286382,Dobermann,2
67.00187686209308,44.17110615574318,0,39.94862147653294,62.94117072628009,79.95597557240487,4.186821263997441,Dobermann,2
89.94083218907994,71.39443536114557,1,43.91051937540298,79.25900902739617,92.75209117981314,8.300412915527435,Bernhardiner,4
59.58246634899592,31.680211643304677,0,33.74862169729824,57.93396076643666,70.81167792829835,4.828707606432453,Schäferhund,0
33.52315800575387,6.6920784941540346,1,19.5316810039852,33.940839331622094,43.7516313799682,3.287997347089865,Mops,6
25.839477414588067,2.8391735805111176,1,15.613545603589884,27.18093924455859,30.895006754581985,3.127380840851397,Chihuahua,3
55.76078104986924,30.742244180088143,0,33.385946021880486,51.82772925926171,62.29558360240449,5.757043675557404,Schäferhund,0
79.7351132311211,72.87815108288954,1,54.5441851602862,78.65219847160711,96.8053119647328,10.630773124575637,Bernhardiner,4
56.888538287572885,28.691912232919684,0,36.67156381334247,52.36284835214724,65.01878060768843,4.490888770686423,Schäferhund,0
37.70885900191216,7.726659289911042,1,23.837230619356244,37.64678071634396,51.89275138553237,6.122806549763033,Dackel,1
70.70941984854872,39.21966912570487,0,37.381863076487456,63.55069272906467,73.58587393511033,4.105242956263907,Dobermann,2
58.963004252432256,29.875189585207732,0,39.60441816735352,51.89197844967856,69.88323310013209,4.731335458306493,Schäferhund,0
88.81027952538635,55.26346599171557,1,54.73985055702759,83.46580341024034,96.12069318472383,11.352935371980546,Bernhardiner,4
42.15594823509707,8.084560764387613,1,21.000555962666997,36.73878777450178,48.05558350535642,5.78690408893876,Dackel,1
39.27790758371062,7.956568797493129,1,20.339429490978212,36.08587560172748,48.93089014048833,6.565436137357237,Dackel,1
74.08522649156035,40.3243745328235,0,43.34212966554374,62.118356158217495,71.26479002247714,4.372567289445066,Dobermann,2
38.40984798106976,11.514837998825604,1,20.58585620204117,28.811047379031702,42.85525706525227,3.282820633625148,Mops,6
37.47306637359442,8.332503071534548,1,21.713722144466637,35.85977047897148,52.71053708965649,7.07454061256268,Dackel,1
89.28853818115529,54.72892683321801,1,53.138552708555125,72.09003759270627,87.64112822862762,9.919239937263775,Bernhardiner,4
35.11783981018156,7.342117188592701,1,20.354911287905274,32.587667912977984,44.60047929314023,3.7344066849833744,Mops,6
37.59583388280345,9.13320914989551,1,15.379044107861889,32.11696745867171,40.71416009426354,3.2830099983053715,Mops,6
80.12034117554228,67.96898444342855,1,40.19511383300259,75.65082206763101,95.77167317158067,11.402910967236014,Bernhardiner,4
45.74076470721525,16.093530131397376,0,29.71359922372267,53.69589564595552,56.72389847331677,9.082349655604332,Border Collie,5
67.45133568507447,35.86796062024157,0,39.0397036195504,64.39570388191298,78.38242845637963,4.9582266805056285,Dobermann,2
42.13767424858646,8.341576927511008,1,23.307563423070988,35.48287246668825,54.02934961946028,6.598915939021133,Dackel,1
42.50524306867859,9.270475121456744,1,20.711311344581272,32.59587141907441,45.08344510393823,7.596595456327462,Dackel,1
31.06737409457869,6.389270028821664,1,15.773994870900482,28.21916104501605,40.59777242158627,3.2200512927853997,Mops,6
63.57037430849944,22.88050855934572,0,32.98680773736547,57.1160330256041,64.80371247599976,4.656196504641643,Schäferhund,0
72.91287147691918,38.82665672285612,0,44.12857869278169,67.44880171698796,73.04256234581797,3.749517311757998,Dobermann,2
37.17833944147511,10.6269479351735,1,23.04940912113486,39.12130422421439,46.91705885106324,7.563438801670339,Dackel,1
33.35802325173482,8.845030717393122,1,21.40025669081995,30.86411632722776,40.38276400384022,3.5897493729501395,Mops,6
26.83385623710221,4.660709687669078,1,17.0432253631352,22.75117441999148,30.36301548890184,2.6774081695729186,Chihuahua,3
32.58481743273984,8.151437878863359,1,17.221209782601914,29.425926487362204,42.7604630304463,3.081545031094564,Mops,6
33.0936296388366,10.968200326017133,1,15.427822643881358,29.756112984497243,44.20621560598702,3.09076552112016,Mops,6
39.83960403349338,9.056339860086702,1,16.017632713399024,33.59607533725733,38.57675865086185,3.604168817963493,Mops,6
44.68885440535317,7.804336576723547,1,19.88754046091616,33.438858163086294,51.35963366017296,7.757552141385376,Dackel,1
72.1246782547473,41.82084317513353,0,42.829408450866055,68.31941421491541,83.48091559784257,3.912649727237641,Dobermann,2
35.99711791109657,11.568540646675698,1,21.44945134361044,31.89787827785681,39.516362798440205,3.989088787763934,Mops,6
33.394774239036,8.503996352733713,1,17.33129820890496,29.78809538576114,41.6430876369604,4.380856865461973,Mops,6
34.29237476163273,3.8229705001902734,1,15.504013179900234,25.952589122521672,36.4438317978282,3.686794974719688,Chihuahua,3
55.550828893780384,34.99923094615322,0,30.17860254441596,57.033237694318586,61.01348914545528,4.093279335365126,Schäferhund,0
84.14609536098807,66.76587106210839,1,41.6967838110858,71.3918567991805,92.39837225508056,10.805546327614234,Bernhardiner,4
34.91844169879019,5.702101514749772,1,17.372296447400394,26.933120330627585,31.92218231304648,3.857864240800221,Chihuahua,3
50.04080869799331,24.48626646733473,0,30.35508299316638,50.34990191566139,67.21948967018342,8.888124717962535,Border Collie,5
33.64319087937758,4.58875091269117,1,16.019185926445676,27.201780393660837,33.370715395424185,2.5150627499352387,Chihuahua,3
28.71183825104131,2.256651160305011,1,15.687611914318223,23.77472190238506,35.04074588716665,2.131596177821943,Chihuahua,3
47.15874789900384,18.09237232269893,0,31.029865462816616,49.20927190738017,62.663342293858506,7.6656323071146915,Border Collie,5
56.6375661243917,25.29838691771424,0,37.26183435638332,56.75605381221779,61.298931551432695,5.590059635517285,Schäferhund,0
41.911420086393385,10.249064304358605,1,19.437310723361872,31.11933693276092,52.485240646831336,6.40374294564805,Dackel,1
40.95241392714214,9.41896919278713,1,22.972387956116627,37.27256940634607,50.07491039150767,5.607846751530853,Dackel,1
26.62814110617119,4.973814598378931,1,13.286700240568674,23.25193438301793,33.00671887207256,3.140389078125014,Chihuahua,3
83.81222869124821,62.47774520510228,1,50.272946531271856,71.54997582652598,94.30397558809128,11.660101845559026,Bernhardiner,4
72.19441686640964,38.56406535649754,0,43.121594223647634,60.39903779922247,78.82508577141961,4.812017038528015,Dobermann,2
38.79622960362089,7.515488057822247,1,18.78416033366757,38.33830475679662,46.96634716016969,7.728266817513456,Dackel,1
41.867225998175854,11.047011109265105,1,18.586899758414784,37.0314212998756,52.28453571344114,5.177156348241116,Dackel,1
44.27901447442066,8.283970465590556,1,21.050694703561003,31.703075464668643,46.19357670913711,7.808411932337404,Dackel,1
